Frequency=3500(MHz)

Phi 	Theta	     ETotal.dB	         E(Phi).AmpdB	    E(Theta).AmpdB	     E(Phi).Phase	     E(Theta).Phase
0.05235987756	1.1519173063	-8.73018724772153	-20.7244626582932	-9.0136208788504	2.91665138853862	-0.813346156053479
0.05235987756	1.2042771839	-8.39041128990464	-21.6910764307652	-8.598417645679	2.99785714467299	-0.873232712700298
0.05235987756	1.2566370614	-8.05956742294337	-23.5198710449526	-8.18488288383043	2.99331818041489	-0.825869968582554
0.05235987756	1.308996939	-7.67290525835384	-25.222239611455	-7.74994184139522	2.76044260152059	-0.741722380453487
0.05235987756	1.3613568166	-7.42553436577599	-25.3665045777831	-7.49587390519647	2.6030500399335	-0.751033029312983
0.05235987756	1.4137166941	-7.17624073403873	-27.7925590101977	-7.21408878430823	2.65183730673142	-0.837179615137791
0.05235987756	1.4660765717	-6.97527431711847	-34.2836825357014	-6.98335312661476	2.32836285071153	-0.859092097299705
0.05235987756	1.5184364492	-7.37007972968145	-28.9491633999375	-7.40037604970677	1.64919070366644	-0.819387390572063
0.05235987756	1.5707963268	-8.21688075311147	-23.327203324857	-8.35287929003542	1.78286287079475	-0.885269286021499
0.05235987756	1.6231562044	-8.33141312856806	-23.3666485557122	-8.46982164553263	1.92437613553839	-1.09007257889573
0.05235987756	1.6755160819	-7.76588994887551	-31.7134396960487	-7.78342494974008	2.25853136376729	-1.18073566559058
0.05235987756	1.7278759595	-7.83421270546244	-38.6584503499124	-7.83780639221591	-1.82333989673721	-1.15104501332188
0.05235987756	1.780235837	-8.35829162152253	-32.9247879123647	-8.3734934052522	0.874130287493229	-1.20558046923806
0.05235987756	1.8325957146	-7.71322187021818	-22.0429790611693	-7.87650724267854	1.19621037670233	-1.35567298909901
0.05235987756	1.8849555922	-6.76369954555851	-22.292940536387	-6.88701323962697	1.33314446535371	-1.37630438441651
0.05235987756	1.9373154697	-6.88975540340032	-48.0605033037561	-6.89008708860945	0.574392274428767	-1.30093810459109
0.05235987756	1.9896753473	-7.52409008102489	-21.8722164974569	-7.68667320564395	-0.814963920299011	-1.31982372945691
