2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
915000000	4.1887902048	-12.7847286143825	-27.9299008684677	-12.9196231492049	1.10291428801012	0.477304717089647
915000000	4.2411500823	-12.8632591849283	-28.2423496068339	-12.9909752182701	1.10784179842702	0.471031230555491
915000000	4.2935099599	-12.9455096157198	-28.5777323705009	-13.065893211625	1.11219129721694	0.463889150027892
915000000	4.3458698375	-13.0309253986919	-28.9395461746383	-13.1437888127642	1.11553505266399	0.455970450545879
915000000	4.398229715	-13.1182419722465	-29.3238982991907	-13.223552935845	1.11813872409084	0.44749518348982
915000000	4.4505895926	-13.2063281981992	-29.7309290472323	-13.304097729248	1.11935159483874	0.438695212669261
915000000	4.5029494701	-13.2945726801726	-30.1605611308148	-13.384873708163	1.1198263269922	0.429687998294168
915000000	4.5553093477	-13.3855585564383	-30.6127168345123	-13.4685843740149	1.11883432943386	0.420919289260105
915000000	4.6076692253	-13.4713113364263	-31.0884041464361	-13.5471448517946	1.1166065954436	0.41218162547965
915000000	4.6600291028	-13.5624851525869	-31.5887407254594	-13.6314459430559	1.11258252405198	0.404191652049378
915000000	4.7123889804	-13.6474484371456	-32.1163694730353	-13.709678464761	1.1073291580664	0.396528627272689
915000000	4.7647488579	-13.7372509384756	-32.6760969846167	-13.793057730485	1.10002797594716	0.389912283262288
915000000	4.8171087355	-13.8200901938415	-33.2701330297702	-13.8696644702225	1.0908682107666	0.383898618757928
915000000	4.8694686131	-13.9079626067592	-33.9054737425086	-13.9516358081045	1.08000786916879	0.379025554856989
915000000	4.9218284906	-13.992697053484	-34.5960531834757	-14.0306587313556	1.06647153791708	0.375089312007005
915000000	4.9741883682	-14.0745652375871	-35.3494383109262	-14.1070680642483	1.0503576982372	0.372026254749237
915000000	5.0265482457	-14.1577159090399	-36.1890184897882	-14.1850068106526	1.03065329873181	0.370048297505886
915000000	5.0789081233	-14.2385040311354	-37.1317999786888	-14.2608692161861	1.00707705618987	0.368853569709913
915000000	5.1312680009	-14.3210740292743	-38.2116516790753	-14.3388410494073	0.978007990674703	0.368651711331731
915000000	5.1836278784	-14.4020372835151	-39.4813268850636	-14.4155433997178	0.940559438539162	0.369034735699585
915000000	5.235987756	-14.477311510781	-41.0112518258467	-14.4869691966367	0.890054719663715	0.369727537996554
915000000	5.2883476335	-14.5516445185703	-42.9188444566191	-14.5579741841083	0.816375282219101	0.370730789828228
915000000	5.3407075111	-14.6255735380154	-45.3920337918856	-14.6292153738505	0.695429048322552	0.371851053710297
915000000	5.3930673887	-14.699476365916	-48.6973878082783	-14.7012064996374	0.457561256888356	0.372939324839428
915000000	5.4454272662	-14.7650448554341	-52.3611194597201	-14.7658003209124	-0.106275867332471	0.373391085208636
915000000	5.4977871438	-14.8315464600048	-51.650493100248	-14.8324499738713	-0.99403635518868	0.373387492189947
915000000	5.5501470213	-14.8903729103063	-47.5357805875382	-14.8927353550558	-1.47913614673839	0.372358027285169
915000000	5.6025068989	-14.9463932851327	-44.0611483598209	-14.9517214196814	-1.68707799182248	0.370277431345255
915000000	5.6548667765	-14.9953058963849	-41.3875308925844	-15.005284290101	-1.79619699251874	0.366765810733019
915000000	5.707226654	-15.037067161109	-39.2561435325857	-15.0535374010426	-1.86374778333299	0.36169777545895
915000000	5.7595865316	-15.0762464822307	-37.5020224315111	-15.1011609632414	-1.91055077156211	0.355148269749978
915000000	5.8119464091	-15.1035156961218	-36.0121754629776	-15.1388898320969	-1.9452601623477	0.346598579741143
